samples 134020
average_bytes 815.021
p95_bytes 0
p99_bytes 3270
max_bytes 717220
port node_id if_index neighbor_id samples positive_samples average_bytes positive_average_bytes p95_bytes p99_bytes max_bytes tx_bytes
port 16 1 0 6701 0 0.000 0.000 0 0 0 394706
port 16 2 1 6701 0 0.000 0.000 0 0 0 394424
port 16 3 2 6701 0 0.000 0.000 0 0 0 394424
port 16 4 3 6701 0 0.000 0.000 0 0 0 394424
port 16 5 4 6701 0 0.000 0.000 0 0 0 394424
port 16 6 5 6701 0 0.000 0.000 0 0 0 394424
port 16 7 6 6701 0 0.000 0.000 0 0 0 394424
port 16 8 7 6701 0 0.000 0.000 0 0 0 394424
port 16 9 18 6701 2323 15907.437 45887.101 13080 679070 717220 36574832
port 17 1 8 6701 325 388.600 8012.338 0 1090 137340 18287416
port 17 2 9 6701 0 0.000 0.000 0 0 0 4966560
port 17 3 10 6701 0 0.000 0.000 0 0 0 4966654
port 17 4 11 6701 0 0.000 0.000 0 0 0 4966466
port 17 5 12 6701 0 0.000 0.000 0 0 0 4571854
port 17 6 13 6701 0 0.000 0.000 0 0 0 4571854
port 17 7 14 6701 0 0.000 0.000 0 0 0 4571854
port 17 8 15 6701 0 0.000 0.000 0 0 0 4571854
port 17 9 18 6701 0 0.000 0.000 0 0 0 3155674
port 18 1 16 6701 0 0.000 0.000 0 0 0 3155674
port 18 2 17 6701 27 4.392 1090.000 0 0 1090 36574832
